D1, D2, Con/ACC, Con/RT, In/ACC, In/RT
 0.1,  0.5,  1.0, .422, 0.86, .517
 0.1,  0.5,  1.0, .418, 0.68, 0.51
 0.1,  0.5,  1.0, .427, 0.82, .501
 0.1,  0.5,  1.0, .422, 0.84, .511
 0.1,  0.5,  1.0, .429, 0.78, .524
 0.1,  0.5,  1.0, .431, 0.82, .502
 0.1,  0.5,  1.0, .426, 0.62, .506
 0.1,  0.5,  1.0, 0.43, 0.86, .528
 0.1,  0.5,  1.0, .431, 0.78, .519
 0.1,  0.5,  1.0, 0.42,  0.8, .521
 0.1,  0.5,  1.0, 0.43, 0.78, .512
 0.1,  0.5,  1.0, 0.43, 0.78, .491
 0.1,  0.5,  1.0, .433, 0.84, .518
 0.1,  0.5,  1.0, .427, 0.78, .486
 0.1,  0.5,  1.0, .429, 0.74, .529
 0.1,  0.5,  1.0, 0.43, 0.78, .502
 0.1,  0.5,  1.0, 0.43, 0.82, .515
 0.1,  0.5,  1.0, .429, 0.82, .513
 0.1,  0.5,  1.0, .418, 0.88, 0.52
 0.1,  0.5,  1.0, .429, 0.64, .488
 0.1,  0.5,  1.0, .424, 0.84, 0.47
 0.1,  0.5,  1.0, .416, 0.74, 0.52
 0.1,  0.5,  1.0, .425,  0.8, 0.49
 0.1,  0.5,  1.0, .437, 0.76,  0.5
 0.1,  0.5,  1.0, .427, 0.78, .537
 0.1,  0.5,  1.0, .429, 0.78, .513
 0.1,  0.5,  1.0, .431, 0.82, 0.53
 0.1,  0.5,  1.0, .421, 0.76, .516
 0.1,  0.5,  1.0, .432, 0.76, .518
 0.1,  0.5,  1.0, .421, 0.78, .494
 0.1,  0.5,  1.0, .429, 0.72, .557
 0.1,  0.5,  1.0, .426, 0.74, .511
 0.1,  0.5,  1.0, .416,  0.9, .472
 0.1,  0.5,  1.0, .429,  0.8, .482
 0.1,  0.5,  1.0, .424, 0.74, .481
 0.1,  0.5,  1.0, .435, 0.78, 0.51
 0.1,  0.5,  1.0, .434, 0.72, .516
 0.1,  0.5,  1.0, .429,  0.8, .517
 0.1,  0.5,  1.0, .428, 0.82, .487
 0.1,  0.5,  1.0, .437, 0.78, .518
 0.1,  0.5,  1.0, .422, 0.82, .543
 0.1,  0.5,  1.0, .421, 0.74, .504
 0.1,  0.5,  1.0, 0.43, 0.66, .516
 0.1,  0.5,  1.0, .429, 0.68, .502
 0.1,  0.5,  1.0, .424, 0.78, .483
 0.1,  0.5,  1.0, .422, 0.84, .513
 0.1,  0.5,  1.0, .432, 0.78, .475
 0.1,  0.5,  1.0, .427, 0.86, .502
 0.1,  0.5,  1.0, .432, 0.74, .548
 0.1,  0.5,  1.0, .427, 0.82, .514
 0.1,  0.5,  1.0, .425, 0.82, .484
 0.1,  0.5,  1.0, .428,  0.8, .496
 0.1,  0.5,  1.0, .427, 0.78, .517
 0.1,  0.5,  1.0, .428, 0.92,  0.5
 0.1,  0.5,  1.0, .425, 0.76, .516
 0.1,  0.5,  1.0, .417,  0.7, .511
 0.1,  0.5,  1.0, .421, 0.68, .486
 0.1,  0.5,  1.0, .419, 0.76, .507
 0.1,  0.5,  1.0, .425, 0.74, .495
 0.1,  0.5,  1.0, .426,  0.8, .536
 0.1,  0.5,  1.0, .417, 0.82, .545
 0.1,  0.5,  1.0, 0.42,  0.8, .498
 0.1,  0.5,  1.0, .426,  0.7, .504
 0.1,  0.5,  1.0, .417,  0.8, .524
 0.1,  0.5,  1.0, .423, 0.78, .518
 0.1,  0.5,  1.0, .428, 0.82, .486
 0.1,  0.5,  1.0, .432, 0.82, .488
 0.1,  0.5,  1.0, .425, 0.72, .478
 0.1,  0.5,  1.0, .426, 0.86, .527
 0.1,  0.5,  1.0, .425, 0.74, .498
 0.1,  0.5,  1.0, .429, 0.84, .526
 0.1,  0.5,  1.0, 0.43,  0.7, .516
 0.1,  0.5,  1.0, .426, 0.84, .487
 0.1,  0.5,  1.0, .436, 0.76, 0.54
 0.1,  0.5,  1.0, .421,  0.8, .527
 0.1,  0.5,  1.0, .427, 0.76, .483
 0.1,  0.5,  1.0, .429, 0.76, .519
 0.1,  0.5,  1.0, .425, 0.76, .497
 0.1,  0.5,  1.0, .436, 0.88, .485
 0.1,  0.5,  1.0, .428, 0.72, .512
 0.1,  0.5,  1.0, .428, 0.72, .502
 0.1,  0.5,  1.0, .428,  0.8, .488
 0.1,  0.5,  1.0, .431, 0.78, .493
 0.1,  0.5,  1.0, .425, 0.74, .509
 0.1,  0.5,  1.0, .429, 0.72, .499
 0.1,  0.5,  1.0, .429, 0.82, 0.51
 0.1,  0.5,  1.0, 0.43, 0.78, .487
 0.1,  0.5,  1.0, .421, 0.78, .483
 0.1,  0.5,  1.0, .437, 0.84, .535
 0.1,  0.5,  1.0, .431, 0.82, .475
 0.1,  0.5,  1.0, .436, 0.72, .501
 0.1,  0.5,  1.0, .424,  0.9, .505
 0.1,  0.5,  1.0, .426, 0.84,  0.5
